iter	Passed	Remaining
799	11898	2974
800	11909	2958
801	11917	2942
802	11926	2926
803	11940	2910
804	11957	2896
805	11967	2880
806	11991	2867
807	12011	2854
808	12061	2847
809	12092	2836
810	12109	2822
811	12121	2806
812	12139	2792
813	12154	2777
814	12171	2762
815	12190	2748
816	12205	2733
817	12213	2717
818	12219	2700
819	12225	2683
820	12240	2668
821	12261	2655
822	12272	2639
823	12290	2625
824	12317	2612
825	12333	2598
826	12369	2587
827	12387	2573
828	12404	2558
829	12413	2542
830	12423	2526
831	12442	2512
832	12474	2500
833	12511	2490
834	12534	2476
835	12566	2465
836	12583	2450
837	12606	2437
838	12620	2421
839	12640	2407
840	12672	2395
841	12688	2381
842	12714	2367
843	12737	2354
844	12766	2341
845	12794	2328
846	12804	2312
847	12819	2297
848	12842	2284
849	12863	2269
850	12870	2253
851	12898	2240
852	12930	2228
853	12957	2215
854	13010	2206
855	13034	2192
856	13061	2179
857	13083	2165
858	13114	2152
859	13130	2137
860	13167	2125
861	13195	2112
862	13210	2097
863	13229	2082
864	13257	2069
865	13283	2055
866	13293	2039
867	13303	2023
868	13316	2007
869	13327	1991
870	13342	1976
871	13354	1960
872	13363	1944
873	13378	1928
874	13391	1913
875	13398	1896
876	13414	1881
877	13443	1868
878	13463	1853
879	13497	1840
880	13528	1827
881	13549	1812
882	13574	1798
883	13607	1785
884	13625	1770
885	13663	1758
886	13695	1744
887	13711	1729
888	13727	1714
889	13760	1700
890	13806	1688
891	13828	1674
892	13851	1659
893	13865	1644
894	13883	1628
895	13903	1613
896	13912	1597
897	13939	1583
898	13959	1568
899	13991	1554
900	14009	1539
901	14039	1525
902	14057	1510
903	14087	1495
904	14116	1481
905	14131	1466
906	14147	1450
907	14162	1434
908	14198	1421
909	14216	1405
910	14236	1390
911	14254	1375
912	14270	1359
913	14285	1344
914	14298	1328
915	14308	1312
916	14318	1295
917	14335	1280
918	14362	1265
919	14383	1250
920	14412	1236
921	14429	1220
922	14445	1205
923	14455	1188
924	14467	1173
925	14493	1158
926	14507	1142
927	14521	1126
928	14583	1114
929	14615	1100
930	14663	1086
931	14722	1074
932	14742	1058
933	14772	1043
934	14798	1028
935	14823	1013
936	14844	998
937	14860	982
938	14879	966
939	14909	951
940	14924	935
941	14947	920
942	14976	905
943	15012	890
944	15037	875
945	15060	859
946	15075	843
947	15104	828
948	15125	812
949	15148	797
950	15173	781
951	15205	766
952	15219	750
953	15236	734
954	15255	718
955	15272	702
956	15291	687
957	15306	671
958	15318	654
959	15332	638
960	15355	623
961	15377	607
962	15397	591
963	15417	575
964	15434	559
965	15452	543
966	15485	528
967	15516	512
968	15531	496
969	15580	481
970	15599	465
971	15615	449
972	15629	433
973	15643	417
974	15666	401
975	15680	385
976	15701	369
977	15726	353
978	15740	337
979	15755	321
980	15763	305
981	15770	289
982	15777	272
983	15783	256
984	15791	240
985	15807	224
986	15816	208
987	15841	192
988	15891	176
989	15926	160
990	15946	144
991	15977	128
992	15997	112
993	16012	96
994	16022	80
995	16029	64
996	16039	48
997	16047	32
998	16055	16
999	16071	0
